time,Azimuth:,Pitch:,Roll:
27.214,-142.408,-87.556,34.992
27.284,-129.716,-87.597,48.366
27.291,-127.040,-87.597,48.366
27.354,-121.948,-87.976,53.130
27.357,-116.773,-87.976,53.130
27.424,-118.133,-87.600,52.125
27.492,-113.919,-87.600,52.125
27.496,-132.092,-87.618,33.690
27.559,-129.060,-87.618,33.690
27.570,-134.168,-87.119,28.610
27.634,-130.355,-86.929,32.471
27.692,-129.987,-86.929,32.471
27.704,-103.388,-87.206,59.036
27.759,-102.116,-87.206,59.036
27.774,-120.194,-87.474,41.186
27.845,-119.156,-86.907,41.987
27.893,-119.432,-86.907,41.987
27.914,-137.555,-87.255,24.444
27.960,-138.327,-87.255,24.444
27.984,-110.781,-87.244,51.340
28.054,-107.267,-87.477,55.008
28.092,-107.446,-87.477,55.008
28.125,-118.321,-88.289,45.000
28.159,-116.160,-88.289,45.000
28.194,-116.605,-88.867,45.000
28.265,-143.040,-88.080,18.435
28.293,-141.258,-88.080,18.435
28.334,-125.606,-87.731,33.690
28.360,-125.232,-87.731,33.690
28.404,-122.656,-87.017,36.027
28.483,-123.752,-87.182,34.992
28.493,-123.150,-87.182,34.992
28.545,-113.124,-87.026,45.000
28.560,-114.103,-87.026,45.000
28.614,-117.413,-87.175,41.634
28.685,-121.108,-87.346,37.875
28.692,-123.436,-87.346,37.875
28.754,-122.798,-87.125,38.660
28.759,-128.972,-87.125,38.660
28.825,-126.027,-87.650,41.186
28.894,-131.766,-87.650,41.186
28.895,-137.886,-87.449,34.992
28.960,-140.617,-87.449,34.992
28.971,-120.966,-88.247,54.462
29.035,-138.240,-88.018,36.870
29.138,-135.571,-88.018,36.870
29.139,-138.806,-87.834,33.690
29.159,-134.818,-87.834,33.690
29.174,-131.617,-87.976,36.870
29.244,-127.362,-87.465,41.634
29.293,-123.822,-87.465,41.634
29.315,-127.518,-87.489,37.875
29.359,-124.874,-87.489,37.875
29.383,-121.571,-87.536,41.186
29.454,-127.781,-87.124,34.992
29.493,-127.200,-87.124,34.992
29.524,-121.039,-87.485,41.186
29.560,-119.610,-87.485,41.186
29.594,-115.845,-87.677,45.000
29.664,-115.470,-86.813,45.000
29.693,-115.485,-86.813,45.000
29.733,-115.748,-87.197,45.000
29.759,-116.391,-87.197,45.000
29.804,-122.062,-86.998,39.289
29.874,-120.813,-87.841,41.186
29.893,-120.591,-87.841,41.186
29.943,-119.917,-87.589,41.634
29.959,-118.310,-87.589,41.634
30.015,-115.438,-88.289,45.000
30.085,-129.213,-87.624,30.964
30.092,-127.753,-87.624,30.964
30.154,-119.757,-87.294,38.660
30.159,-120.214,-87.294,38.660
30.225,-125.073,-86.813,33.690
30.294,-125.625,-86.813,33.690
30.294,-134.546,-86.709,24.775
30.360,-135.142,-86.709,24.775
30.371,-131.279,-87.072,28.610
30.434,-110.466,-87.818,49.399
